Legs (Hams focused) | 2023-04-10T11:07:54.803Z
Back and Biceps | 2023-04-09T10:40:37.910Z
Chest, Triceps, shoulders | 2023-04-08T11:01:37.460Z
Legs (Quad Focused) | 2023-04-06T16:55:58.029Z
Back and Biceps | 2023-04-05T16:54:43.600Z
Chest, Triceps, shoulders | 2023-04-04T17:22:40.343Z
Legs (Hams focused) | 2023-04-02T11:41:33.774Z
Back and Biceps | 2023-04-01T11:08:36.583Z
Chest, Triceps, shoulders | 2023-03-31T17:02:47.016Z
Legs (Quad Focused) | 2023-03-29T17:03:53.897Z
Back and Biceps | 2023-03-28T16:50:09.373Z
Chest, Triceps, shoulders | 2023-03-27T17:08:17.527Z
Legs (Hams focused) | 2023-03-25T17:27:10.205Z
Back and Biceps | 2023-03-24T18:02:27.008Z
Chest, Triceps, shoulders | 2023-03-22T18:06:28.921Z
Legs (Quad Focused) | 2023-03-20T18:02:26.579Z
Back and Biceps | 2023-03-19T12:14:52.962Z
Chest, Triceps, shoulders | 2023-03-18T12:13:29.493Z
Legs (Hams focused) | 2023-03-16T18:33:42.130Z
Back and Biceps | 2023-03-15T17:45:05.304Z
Chest, Triceps, shoulders | 2023-03-14T18:37:48.250Z
Legs (Quad Focused) | 2023-03-12T12:52:35.592Z
Back and Biceps | 2023-03-11T12:47:03.727Z
Chest, Triceps, shoulders | 2023-03-10T18:38:32.637Z
Back and Biceps | 2023-03-08T18:19:53.537Z
Chest, Triceps, shoulders | 2023-03-07T18:30:52.854Z
Legs (Quad Focused) | 2023-03-05T13:02:49.076Z
Back and biceps | 2023-03-04T12:18:11.110Z
Chest, Triceps, shoulders | 2023-03-03T18:45:45.372Z
Legs (Hams focused) | 2023-03-01T18:32:37.466Z
Back and Biceps | 2023-02-28T18:08:19.663Z
Chest, Triceps, shoulders | 2023-02-27T18:23:18.122Z
Legs (Quad Focused) | 2023-02-25T12:52:44.103Z
Back and Biceps | 2023-02-24T18:20:24.984Z
Chest, Triceps, shoulders | 2023-02-23T18:44:29.314Z
Legs (Hams focused) | 2023-02-18T13:01:16.467Z
Back and Biceps | 2023-02-17T18:17:24.004Z
Chest, Triceps, shoulders | 2023-02-16T18:35:50.132Z
Legs (Quad Focused) | 2023-02-14T18:25:08.407Z
Back and Biceps | 2023-02-13T18:23:03.205Z
Chest, Triceps, shoulders | 2023-02-12T12:52:32.016Z
Legs (Quad Focused) | 2023-02-10T18:05:27.526Z
Back and Biceps | 2023-02-09T18:13:58.243Z
